"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Syrian Arab Republic","No data","No data","No data","85.8","98.7","91.5","94.7","85.3","88.8","86.2","84.9","91.1","96.3","93.2","89.2","93.2"
"Tajikistan","122.2","111.8","102.5","91.5","81.9","83.4","79.9","77.4","69.7","57.7","53.6","49.1","44.3","39.3","35.5","31.9"
"Thailand","128.7","128.6","113.3","112.5","101.2","105.9","107.8","92.0","80.1","84.3","109.8","99.9","98.2","94.9","97.1","95.0"
"Republic of North Macedonia","304.9","301.4","287.5","276.8","271.5","287.0","249.0","219.2","226.7","235.1","246.1","255.4","256.5","241.0","214.7","228.6"
"Timor-Leste","14.5","14.0","13.4","12.4","12.1","12.7","9.4","11.0","12.8","14.7","19.7","15.6","14.1","15.9","No data","No data"
"Togo","54.3","55.0","53.4","49.1","51.0","50.7","41.5","36.0","36.0","34.3","32.9","33.4","34.6","30.8","30.6","31.8"
"Tonga","44.4","42.4","40.4","38.6","39.2","42.1","40.8","37.3","37.2","36.7","36.2","31.0","29.8","29.0","25.8","25.0"
"Trinidad and Tobago","1015.2","835.3","772.4","762.2","651.1","625.0","887.8","639.7","663.9","588.5","587.7","552.2","511.6","417.4","348.0","334.8"
"Tunisia","334.9","323.0","306.6","300.6","274.8","259.0","245.9","233.9","228.5","215.0","207.8","197.0","181.1","166.7","153.7","143.1"
"Turkey","217.8","225.2","212.9","192.5","192.4","No data","167.3","230.5","244.6","220.2","189.5","152.5","139.9","No data","No data","No data"
"Turkmenistan","761.0","604.0","503.1","433.5","403.9","368.6","325.1","420.0","286.6","448.4","435.1","408.1","271.4","206.0","237.7","155.4"
"Tuvalu","19.6","18.7","18.5","17.8","18.0","15.0","15.8","20.1","16.7","13.0","18.0","19.3","24.1","21.8","17.0","3.1"
"Uganda","64.7","63.0","58.2","61.1","62.4","61.9","90.9","103.6","93.0","84.7","72.4","56.5","57.8","49.4","37.5","32.3"
"Ukraine","240.1","264.2","272.9","254.7","231.1","200.9","195.8","191.9","194.5","180.8","169.4","167.5","151.4","135.7","125.7","110.7"
"United Arab Emirates","697.4","711.7","653.6","579.9","590.7","648.7","633.1","731.2","795.2","810.6","826.5","902.2","849.6","839.9","461.6","605.3"
"United Kingdom of Great Britain and Northern Ireland","813.9","788.7","765.2","523.9","487.6","464.3","438.5","438.6","443.3","403.0","391.6","384.0","377.6","343.4","318.8","285.5"
"United Republic of Tanzania","27.1","27.1","28.9","31.7","37.8","34.6","33.9","34.1","35.3","32.7","34.0","37.8","38.2","30.8","25.3","19.2"
"United States of America","4734.0","4531.1","4414.7","4343.4","4195.3","4092.1","3979.3","3904.0","3848.8","3662.8","3525.7","3342.1","3162.4","2925.6","2695.7","2547.1"
"Uruguay","526.0","521.0","521.4","527.4","540.7","540.9","514.8","436.2","503.2","497.5","481.9","456.9","442.8","447.1","489.8","502.1"
"Uzbekistan","173.4","162.6","141.1","133.7","118.0","107.7","96.5","85.0","83.0","87.5","76.2","70.4","63.0","64.8","56.3","54.5"
