"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Serbia","537.3","541.6","515.1","459.4","455.0","443.8","411.7","420.1","364.4","284.1","226.3","181.5","146.0","130.6","120.3","110.0"
"Seychelles","21.5","18.5","17.8","23.5","34.8","28.8","27.7","30.5","35.2","35.7","41.0","46.9","67.0","82.1","98.8","120.6"
"Sierra Leone","98.0","123.0","124.6","86.6","80.9","60.3","71.5","69.7","65.0","58.3","57.8","56.6","55.9","53.0","43.2","42.0"
"Singapore","1161.5","1083.0","1088.0","973.3","929.9","934.2","901.0","944.9","863.2","824.3","796.3","784.8","779.4","767.6","734.9","680.2"
"Slovakia","380.3","362.2","490.4","472.9","452.3","444.9","412.1","347.2","416.5","344.3","258.8","206.0","94.2","80.8","72.2","65.2"
"Slovenia","342.4","345.4","326.8","315.6","301.6","302.1","302.0","295.5","283.0","247.3","248.7","219.7","213.1",,,
"Solomon Islands","5.7","6.0","6.2","5.7","5.7","5.9","5.7","6.0","6.0","5.8","5.1","4.8","2.8","2.7","3.0","3.0"
"Somalia",,,,,,,,,,,,,,,,
"South Africa","83.6","81.4","79.2","78.3","76.3","73.5","74.4","76.4","78.5","80.1","79.6","78.3","78.3","78.4","83.6","85.0"
"South Sudan","43.7","29.6","28.2","31.4",,,,,,,,,,,,
"Spain","771.1","752.5","702.5","661.3","615.6","599.5","569.6","586.5","542.2","513.0","470.9","449.6","429.6","411.7","388.9","357.6"
"Sri Lanka","135.7","111.6","102.4","96.9","102.3","95.5","109.0","95.0","77.8","65.7","59.4","57.6","44.4","51.0","49.7","49.0"
"Sudan","175.1","150.5","197.5","137.5","171.3","142.2","146.0","157.1","154.8","112.2","87.4","80.4","77.2","60.8","58.1","52.4"
"Suriname","103.2","114.7","106.4","102.5","100.9","90.7","88.0","93.7","81.8","82.9","128.5","130.5","125.8","131.2","124.9","106.7"
"Sweden","804.9","806.9","792.0","756.5","705.4","601.5","603.0","591.1","557.0","522.4","482.1","465.2","437.2","431.4","409.2","314.0"
"Switzerland","2149.3","2014.5","1864.5","1780.8","1673.4","1601.3","1330.1","1279.9","1472.7","1362.0","1274.7","1304.1","1240.4","1205.6","1139.8","1101.6"
"Syrian Arab Republic",,,,"85.8","98.7","91.5","94.7","85.3","88.8","86.2","84.9","91.1","96.3","93.2","89.2","93.2"
"Tajikistan","121.5","111.2","102.1","90.5","81.1","83.4","79.8","77.2","69.4","56.4","52.3","48.4","43.7","39.3","35.5","31.9"
"Thailand","71.8","74.5","66.2","69.6","62.8","64.9","70.2","62.3","56.2","60.4","89.4","79.6","78.0","75.9","78.5","77.2"
"Republic of North Macedonia","304.9","301.4","287.5","276.8","271.5","287.0","249.0","219.2","226.7","235.1","246.1","255.4","256.5","241.0","214.7","228.6"
"Timor-Leste","14.5","14.0","13.4","12.3","12.1","12.7","9.4","11.0","12.8","14.7","19.7","15.6","14.1","15.9",,
"Togo","48.7","49.0","49.2","45.4","47.1","46.8","37.9","32.3","32.4","30.9","29.7","30.1","31.5","27.9","27.6","28.8"
"Tonga","33.1","31.8","30.2","28.7","27.4","27.9","28.6","27.5","26.1","24.6","26.2","24.5","23.5","22.9","20.4","19.7"
"Trinidad and Tobago","822.9","677.9","651.2","631.9","547.5","524.0","782.8","557.5","584.8","509.6","519.6","495.1","441.8","343.8","289.0","277.3"
"Tunisia","307.9","293.7","293.5","286.8","270.7","253.3","237.9","222.8","212.7","193.5","178.2","167.6","152.7","139.2","127.1","117.1"
"Turkey","168.8","178.2","166.5","147.2","146.5","148.9","124.5","161.9","187.2","167.2","142.0","108.8","92.0","96.7","106.6","127.9"
"Turkmenistan","713.4","566.3","471.6","406.4","378.7","345.6","304.7","393.8","268.7","420.4","407.9","382.6","254.4","193.1","222.9","145.7"
"Tuvalu","3.9","3.7","3.7","3.6","3.6","3.0","3.2","4.0","3.3","2.6","3.6","3.9","4.8","4.4","3.4","0.6"
"Uganda","56.1","54.6","50.5","56.9","60.7","56.4","56.9","69.5","65.4","60.3","49.4","36.2","27.7","28.3","25.9","25.3"
"Ukraine","224.4","246.8","254.6","237.1","214.1","183.8","179.0","175.8","176.8","167.2","155.8","154.8","140.4","125.5","116.1","101.7"
"United Arab Emirates","431.5","436.7","400.1","353.5","361.7","399.4","387.3","509.3","555.7","564.0","577.2","639.6","602.4","607.5","302.9","428.9"
